plot,parameter_name,level_index,level_encoding,variant,metric,value
core4_sensitivity,initial_energy,0,"""0""",CW_THETA_CW,certification_ratio,0.0
core4_sensitivity,initial_energy,0,"""0""",CW_THETA_CW,completed_only_ratio,0.0
core4_sensitivity,initial_energy,0,"""0""",CW_THETA_CW,candidate_mean,8.0
core4_sensitivity,initial_energy,0,"""0""",CW_THETA_CW,candidate_median,8.0
core4_sensitivity,initial_energy,0,"""0""",CW_THETA_CW,candidate_p95,13.0
core4_sensitivity,initial_energy,0,"""0""",CW_THETA_CW,timeout_count,0
core4_sensitivity,initial_energy,0,"""0""",CW_THETA_CW,runtime_mean_seconds,0.180775598
core4_sensitivity,initial_energy,0,"""0""",CW_THETA_CW,monotonicity_violation_count,0
core4_sensitivity,initial_energy,0,"""0""",LOC_THETA_LOC,certification_ratio,0.0
core4_sensitivity,initial_energy,0,"""0""",LOC_THETA_LOC,completed_only_ratio,0.0
core4_sensitivity,initial_energy,0,"""0""",LOC_THETA_LOC,candidate_mean,8.0
core4_sensitivity,initial_energy,0,"""0""",LOC_THETA_LOC,candidate_median,8.0
core4_sensitivity,initial_energy,0,"""0""",LOC_THETA_LOC,candidate_p95,13.0
core4_sensitivity,initial_energy,0,"""0""",LOC_THETA_LOC,timeout_count,0
core4_sensitivity,initial_energy,0,"""0""",LOC_THETA_LOC,runtime_mean_seconds,0.187027679
core4_sensitivity,initial_energy,0,"""0""",LOC_THETA_LOC,monotonicity_violation_count,0
core4_sensitivity,initial_energy,1,"""1""",CW_THETA_CW,certification_ratio,0.0
core4_sensitivity,initial_energy,1,"""1""",CW_THETA_CW,completed_only_ratio,0.0
core4_sensitivity,initial_energy,1,"""1""",CW_THETA_CW,candidate_mean,7.0
core4_sensitivity,initial_energy,1,"""1""",CW_THETA_CW,candidate_median,7.0
core4_sensitivity,initial_energy,1,"""1""",CW_THETA_CW,candidate_p95,12.0
core4_sensitivity,initial_energy,1,"""1""",CW_THETA_CW,timeout_count,0
core4_sensitivity,initial_energy,1,"""1""",CW_THETA_CW,runtime_mean_seconds,0.180974696
core4_sensitivity,initial_energy,1,"""1""",CW_THETA_CW,monotonicity_violation_count,0
core4_sensitivity,initial_energy,1,"""1""",LOC_THETA_LOC,certification_ratio,0.0
core4_sensitivity,initial_energy,1,"""1""",LOC_THETA_LOC,completed_only_ratio,0.0
core4_sensitivity,initial_energy,1,"""1""",LOC_THETA_LOC,candidate_mean,7.0
core4_sensitivity,initial_energy,1,"""1""",LOC_THETA_LOC,candidate_median,7.0
core4_sensitivity,initial_energy,1,"""1""",LOC_THETA_LOC,candidate_p95,12.0
core4_sensitivity,initial_energy,1,"""1""",LOC_THETA_LOC,timeout_count,0
core4_sensitivity,initial_energy,1,"""1""",LOC_THETA_LOC,runtime_mean_seconds,0.176605661
core4_sensitivity,initial_energy,1,"""1""",LOC_THETA_LOC,monotonicity_violation_count,0
core4_sensitivity,method,0,"""CW_THETA_CW""",CW_THETA_CW,certification_ratio,0.0
core4_sensitivity,method,0,"""CW_THETA_CW""",CW_THETA_CW,completed_only_ratio,0.0
core4_sensitivity,method,0,"""CW_THETA_CW""",CW_THETA_CW,candidate_mean,8.0
core4_sensitivity,method,0,"""CW_THETA_CW""",CW_THETA_CW,candidate_median,8.0
core4_sensitivity,method,0,"""CW_THETA_CW""",CW_THETA_CW,candidate_p95,13.0
core4_sensitivity,method,0,"""CW_THETA_CW""",CW_THETA_CW,timeout_count,0
core4_sensitivity,method,0,"""CW_THETA_CW""",CW_THETA_CW,runtime_mean_seconds,0.178905352
core4_sensitivity,method,0,"""CW_THETA_CW""",CW_THETA_CW,monotonicity_violation_count,0
core4_sensitivity,method,1,"""LOC_THETA_LOC""",LOC_THETA_LOC,certification_ratio,0.0
core4_sensitivity,method,1,"""LOC_THETA_LOC""",LOC_THETA_LOC,completed_only_ratio,0.0
core4_sensitivity,method,1,"""LOC_THETA_LOC""",LOC_THETA_LOC,candidate_mean,8.0
core4_sensitivity,method,1,"""LOC_THETA_LOC""",LOC_THETA_LOC,candidate_median,8.0
core4_sensitivity,method,1,"""LOC_THETA_LOC""",LOC_THETA_LOC,candidate_p95,13.0
core4_sensitivity,method,1,"""LOC_THETA_LOC""",LOC_THETA_LOC,timeout_count,0
core4_sensitivity,method,1,"""LOC_THETA_LOC""",LOC_THETA_LOC,runtime_mean_seconds,0.2010054
core4_sensitivity,method,1,"""LOC_THETA_LOC""",LOC_THETA_LOC,monotonicity_violation_count,0
core4_sensitivity,power_scale,0,"""1""",CW_THETA_CW,certification_ratio,0.0
core4_sensitivity,power_scale,0,"""1""",CW_THETA_CW,completed_only_ratio,0.0
core4_sensitivity,power_scale,0,"""1""",CW_THETA_CW,candidate_mean,8.0
core4_sensitivity,power_scale,0,"""1""",CW_THETA_CW,candidate_median,8.0
core4_sensitivity,power_scale,0,"""1""",CW_THETA_CW,candidate_p95,13.0
core4_sensitivity,power_scale,0,"""1""",CW_THETA_CW,timeout_count,0
core4_sensitivity,power_scale,0,"""1""",CW_THETA_CW,runtime_mean_seconds,0.175002649
core4_sensitivity,power_scale,0,"""1""",CW_THETA_CW,monotonicity_violation_count,0
core4_sensitivity,power_scale,0,"""1""",LOC_THETA_LOC,certification_ratio,0.0
core4_sensitivity,power_scale,0,"""1""",LOC_THETA_LOC,completed_only_ratio,0.0
core4_sensitivity,power_scale,0,"""1""",LOC_THETA_LOC,candidate_mean,8.0
core4_sensitivity,power_scale,0,"""1""",LOC_THETA_LOC,candidate_median,8.0
core4_sensitivity,power_scale,0,"""1""",LOC_THETA_LOC,candidate_p95,13.0
core4_sensitivity,power_scale,0,"""1""",LOC_THETA_LOC,timeout_count,0
core4_sensitivity,power_scale,0,"""1""",LOC_THETA_LOC,runtime_mean_seconds,0.178095853
core4_sensitivity,power_scale,0,"""1""",LOC_THETA_LOC,monotonicity_violation_count,0
core4_sensitivity,power_scale,1,"""2""",CW_THETA_CW,certification_ratio,0.0
core4_sensitivity,power_scale,1,"""2""",CW_THETA_CW,completed_only_ratio,0.0
core4_sensitivity,power_scale,1,"""2""",CW_THETA_CW,candidate_mean,8.0
core4_sensitivity,power_scale,1,"""2""",CW_THETA_CW,candidate_median,8.0
core4_sensitivity,power_scale,1,"""2""",CW_THETA_CW,candidate_p95,13.0
core4_sensitivity,power_scale,1,"""2""",CW_THETA_CW,timeout_count,0
core4_sensitivity,power_scale,1,"""2""",CW_THETA_CW,runtime_mean_seconds,0.18006736
core4_sensitivity,power_scale,1,"""2""",CW_THETA_CW,monotonicity_violation_count,0
core4_sensitivity,power_scale,1,"""2""",LOC_THETA_LOC,certification_ratio,0.0
core4_sensitivity,power_scale,1,"""2""",LOC_THETA_LOC,completed_only_ratio,0.0
core4_sensitivity,power_scale,1,"""2""",LOC_THETA_LOC,candidate_mean,8.0
core4_sensitivity,power_scale,1,"""2""",LOC_THETA_LOC,candidate_median,8.0
core4_sensitivity,power_scale,1,"""2""",LOC_THETA_LOC,candidate_p95,13.0
core4_sensitivity,power_scale,1,"""2""",LOC_THETA_LOC,timeout_count,0
core4_sensitivity,power_scale,1,"""2""",LOC_THETA_LOC,runtime_mean_seconds,0.182299043
core4_sensitivity,power_scale,1,"""2""",LOC_THETA_LOC,monotonicity_violation_count,0
core4_sensitivity,service_curve,0,"{""availability"":""AVAILABLE"",""horizon"":30000,""id"":""repository-default-service-v1"",""system_template"":""system_config_unified_template.yml""}",CW_THETA_CW,certification_ratio,0.0
core4_sensitivity,service_curve,0,"{""availability"":""AVAILABLE"",""horizon"":30000,""id"":""repository-default-service-v1"",""system_template"":""system_config_unified_template.yml""}",CW_THETA_CW,completed_only_ratio,0.0
core4_sensitivity,service_curve,0,"{""availability"":""AVAILABLE"",""horizon"":30000,""id"":""repository-default-service-v1"",""system_template"":""system_config_unified_template.yml""}",CW_THETA_CW,candidate_mean,8.0
core4_sensitivity,service_curve,0,"{""availability"":""AVAILABLE"",""horizon"":30000,""id"":""repository-default-service-v1"",""system_template"":""system_config_unified_template.yml""}",CW_THETA_CW,candidate_median,8.0
core4_sensitivity,service_curve,0,"{""availability"":""AVAILABLE"",""horizon"":30000,""id"":""repository-default-service-v1"",""system_template"":""system_config_unified_template.yml""}",CW_THETA_CW,candidate_p95,13.0
core4_sensitivity,service_curve,0,"{""availability"":""AVAILABLE"",""horizon"":30000,""id"":""repository-default-service-v1"",""system_template"":""system_config_unified_template.yml""}",CW_THETA_CW,timeout_count,0
core4_sensitivity,service_curve,0,"{""availability"":""AVAILABLE"",""horizon"":30000,""id"":""repository-default-service-v1"",""system_template"":""system_config_unified_template.yml""}",CW_THETA_CW,runtime_mean_seconds,0.179167494
core4_sensitivity,service_curve,0,"{""availability"":""AVAILABLE"",""horizon"":30000,""id"":""repository-default-service-v1"",""system_template"":""system_config_unified_template.yml""}",CW_THETA_CW,monotonicity_violation_count,0
core4_sensitivity,service_curve,0,"{""availability"":""AVAILABLE"",""horizon"":30000,""id"":""repository-default-service-v1"",""system_template"":""system_config_unified_template.yml""}",LOC_THETA_LOC,certification_ratio,0.0
core4_sensitivity,service_curve,0,"{""availability"":""AVAILABLE"",""horizon"":30000,""id"":""repository-default-service-v1"",""system_template"":""system_config_unified_template.yml""}",LOC_THETA_LOC,completed_only_ratio,0.0
core4_sensitivity,service_curve,0,"{""availability"":""AVAILABLE"",""horizon"":30000,""id"":""repository-default-service-v1"",""system_template"":""system_config_unified_template.yml""}",LOC_THETA_LOC,candidate_mean,8.0
core4_sensitivity,service_curve,0,"{""availability"":""AVAILABLE"",""horizon"":30000,""id"":""repository-default-service-v1"",""system_template"":""system_config_unified_template.yml""}",LOC_THETA_LOC,candidate_median,8.0
core4_sensitivity,service_curve,0,"{""availability"":""AVAILABLE"",""horizon"":30000,""id"":""repository-default-service-v1"",""system_template"":""system_config_unified_template.yml""}",LOC_THETA_LOC,candidate_p95,13.0
core4_sensitivity,service_curve,0,"{""availability"":""AVAILABLE"",""horizon"":30000,""id"":""repository-default-service-v1"",""system_template"":""system_config_unified_template.yml""}",LOC_THETA_LOC,timeout_count,0
core4_sensitivity,service_curve,0,"{""availability"":""AVAILABLE"",""horizon"":30000,""id"":""repository-default-service-v1"",""system_template"":""system_config_unified_template.yml""}",LOC_THETA_LOC,runtime_mean_seconds,0.183154291
core4_sensitivity,service_curve,0,"{""availability"":""AVAILABLE"",""horizon"":30000,""id"":""repository-default-service-v1"",""system_template"":""system_config_unified_template.yml""}",LOC_THETA_LOC,monotonicity_violation_count,0
core4_sensitivity,service_curve,1,"{""availability"":""UNAVAILABLE"",""id"":""second-formal-service-curve"",""reason"":""repository has no second predeclared pointwise-orderable service configuration""}",CW_THETA_CW,certification_ratio,0.0
core4_sensitivity,service_curve,1,"{""availability"":""UNAVAILABLE"",""id"":""second-formal-service-curve"",""reason"":""repository has no second predeclared pointwise-orderable service configuration""}",CW_THETA_CW,completed_only_ratio,
core4_sensitivity,service_curve,1,"{""availability"":""UNAVAILABLE"",""id"":""second-formal-service-curve"",""reason"":""repository has no second predeclared pointwise-orderable service configuration""}",CW_THETA_CW,candidate_mean,
core4_sensitivity,service_curve,1,"{""availability"":""UNAVAILABLE"",""id"":""second-formal-service-curve"",""reason"":""repository has no second predeclared pointwise-orderable service configuration""}",CW_THETA_CW,candidate_median,
core4_sensitivity,service_curve,1,"{""availability"":""UNAVAILABLE"",""id"":""second-formal-service-curve"",""reason"":""repository has no second predeclared pointwise-orderable service configuration""}",CW_THETA_CW,candidate_p95,
core4_sensitivity,service_curve,1,"{""availability"":""UNAVAILABLE"",""id"":""second-formal-service-curve"",""reason"":""repository has no second predeclared pointwise-orderable service configuration""}",CW_THETA_CW,timeout_count,0
core4_sensitivity,service_curve,1,"{""availability"":""UNAVAILABLE"",""id"":""second-formal-service-curve"",""reason"":""repository has no second predeclared pointwise-orderable service configuration""}",CW_THETA_CW,runtime_mean_seconds,
core4_sensitivity,service_curve,1,"{""availability"":""UNAVAILABLE"",""id"":""second-formal-service-curve"",""reason"":""repository has no second predeclared pointwise-orderable service configuration""}",CW_THETA_CW,monotonicity_violation_count,0
core4_sensitivity,service_curve,1,"{""availability"":""UNAVAILABLE"",""id"":""second-formal-service-curve"",""reason"":""repository has no second predeclared pointwise-orderable service configuration""}",LOC_THETA_LOC,certification_ratio,0.0
core4_sensitivity,service_curve,1,"{""availability"":""UNAVAILABLE"",""id"":""second-formal-service-curve"",""reason"":""repository has no second predeclared pointwise-orderable service configuration""}",LOC_THETA_LOC,completed_only_ratio,
core4_sensitivity,service_curve,1,"{""availability"":""UNAVAILABLE"",""id"":""second-formal-service-curve"",""reason"":""repository has no second predeclared pointwise-orderable service configuration""}",LOC_THETA_LOC,candidate_mean,
core4_sensitivity,service_curve,1,"{""availability"":""UNAVAILABLE"",""id"":""second-formal-service-curve"",""reason"":""repository has no second predeclared pointwise-orderable service configuration""}",LOC_THETA_LOC,candidate_median,
core4_sensitivity,service_curve,1,"{""availability"":""UNAVAILABLE"",""id"":""second-formal-service-curve"",""reason"":""repository has no second predeclared pointwise-orderable service configuration""}",LOC_THETA_LOC,candidate_p95,
core4_sensitivity,service_curve,1,"{""availability"":""UNAVAILABLE"",""id"":""second-formal-service-curve"",""reason"":""repository has no second predeclared pointwise-orderable service configuration""}",LOC_THETA_LOC,timeout_count,0
core4_sensitivity,service_curve,1,"{""availability"":""UNAVAILABLE"",""id"":""second-formal-service-curve"",""reason"":""repository has no second predeclared pointwise-orderable service configuration""}",LOC_THETA_LOC,runtime_mean_seconds,
core4_sensitivity,service_curve,1,"{""availability"":""UNAVAILABLE"",""id"":""second-formal-service-curve"",""reason"":""repository has no second predeclared pointwise-orderable service configuration""}",LOC_THETA_LOC,monotonicity_violation_count,0
