cell_id,variant,unconditional_denominator,terminal_count,completed_only_denominator,certified_count,no_candidate_count,timeout_count,not_applicable_count,numeric_error_count,internal_failure_count,certification_ratio_unconditional,certification_ratio_completed_only,runtime_mean,runtime_median,runtime_p95,runtime_max,mean_candidate_task_count,first_failed_priority_observation_count,checked_w_total,checked_h_total,checked_q_total,envelope_call_total
0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,CW_D,1,1,1,1,0,0,0,0,0,1.0,1.0,5.290601179,5.290601179,5.290601179,5.290601179,10.0,0,141,10,311,311
0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,CW_THETA_CW,1,1,1,1,0,0,0,0,0,1.0,1.0,3.132498527,3.132498527,3.132498527,3.132498527,10.0,0,104,10,274,274
0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,LOC_D,1,1,1,1,0,0,0,0,0,1.0,1.0,4.02494886,4.02494886,4.02494886,4.02494886,10.0,0,141,10,311,311
0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,LOC_THETA_CW,1,1,1,1,0,0,0,0,0,1.0,1.0,3.264190198,3.264190198,3.264190198,3.264190198,10.0,0,104,10,274,274
0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,LOC_THETA_LOC,1,1,1,1,0,0,0,0,0,1.0,1.0,3.130706299,3.130706299,3.130706299,3.130706299,10.0,0,104,10,274,274
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,CW_D,1,1,1,1,0,0,0,0,0,1.0,1.0,5.2555676,5.2555676,5.2555676,5.2555676,10.0,0,141,10,311,311
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,CW_THETA_CW,1,1,1,1,0,0,0,0,0,1.0,1.0,3.316684064,3.316684064,3.316684064,3.316684064,10.0,0,104,10,274,274
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,LOC_D,1,1,1,1,0,0,0,0,0,1.0,1.0,4.152702867,4.152702867,4.152702867,4.152702867,10.0,0,141,10,311,311
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,LOC_THETA_CW,1,1,1,1,0,0,0,0,0,1.0,1.0,3.189050758,3.189050758,3.189050758,3.189050758,10.0,0,104,10,274,274
6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,LOC_THETA_LOC,1,1,1,1,0,0,0,0,0,1.0,1.0,3.231389921,3.231389921,3.231389921,3.231389921,10.0,0,104,10,274,274
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,CW_D,1,1,1,1,0,0,0,0,0,1.0,1.0,0.976962477,0.976962477,0.976962477,0.976962477,10.0,0,46,10,117,117
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,CW_THETA_CW,1,1,1,1,0,0,0,0,0,1.0,1.0,0.830354237,0.830354237,0.830354237,0.830354237,10.0,0,39,10,110,110
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,LOC_D,1,1,1,1,0,0,0,0,0,1.0,1.0,0.989685459,0.989685459,0.989685459,0.989685459,10.0,0,46,10,117,117
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,LOC_THETA_CW,1,1,1,1,0,0,0,0,0,1.0,1.0,0.815659548,0.815659548,0.815659548,0.815659548,10.0,0,39,10,110,110
8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,LOC_THETA_LOC,1,1,1,1,0,0,0,0,0,1.0,1.0,0.85196778,0.85196778,0.85196778,0.85196778,10.0,0,39,10,110,110
9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,CW_D,1,1,1,1,0,0,0,0,0,1.0,1.0,0.920958871,0.920958871,0.920958871,0.920958871,10.0,0,46,10,117,117
9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,CW_THETA_CW,1,1,1,1,0,0,0,0,0,1.0,1.0,0.827760433,0.827760433,0.827760433,0.827760433,10.0,0,39,10,110,110
9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,LOC_D,1,1,1,1,0,0,0,0,0,1.0,1.0,0.934843553,0.934843553,0.934843553,0.934843553,10.0,0,46,10,117,117
9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,LOC_THETA_CW,1,1,1,1,0,0,0,0,0,1.0,1.0,0.812172665,0.812172665,0.812172665,0.812172665,10.0,0,39,10,110,110
9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,LOC_THETA_LOC,1,1,1,1,0,0,0,0,0,1.0,1.0,0.868076517,0.868076517,0.868076517,0.868076517,10.0,0,39,10,110,110
be79120f9a03c21892afc0f91577f9e07ed46f2b9687b9665e9e9e032b3cbf4d,CW_D,1,1,1,1,0,0,0,0,0,1.0,1.0,8.540877934,8.540877934,8.540877934,8.540877934,10.0,0,147,10,322,322
be79120f9a03c21892afc0f91577f9e07ed46f2b9687b9665e9e9e032b3cbf4d,CW_THETA_CW,1,1,1,1,0,0,0,0,0,1.0,1.0,7.724394015,7.724394015,7.724394015,7.724394015,10.0,0,94,10,269,269
be79120f9a03c21892afc0f91577f9e07ed46f2b9687b9665e9e9e032b3cbf4d,LOC_D,1,1,1,1,0,0,0,0,0,1.0,1.0,8.532043735,8.532043735,8.532043735,8.532043735,10.0,0,147,10,322,322
be79120f9a03c21892afc0f91577f9e07ed46f2b9687b9665e9e9e032b3cbf4d,LOC_THETA_CW,1,1,1,1,0,0,0,0,0,1.0,1.0,8.01875937,8.01875937,8.01875937,8.01875937,10.0,0,94,10,269,269
be79120f9a03c21892afc0f91577f9e07ed46f2b9687b9665e9e9e032b3cbf4d,LOC_THETA_LOC,1,1,1,1,0,0,0,0,0,1.0,1.0,7.848368128,7.848368128,7.848368128,7.848368128,10.0,0,94,10,269,269
d7b5eed4292dabab90ad067822a4289831395dee070079e96dd145f1f9a4c544,CW_D,1,1,1,1,0,0,0,0,0,1.0,1.0,8.496466395,8.496466395,8.496466395,8.496466395,10.0,0,147,10,322,322
d7b5eed4292dabab90ad067822a4289831395dee070079e96dd145f1f9a4c544,CW_THETA_CW,1,1,1,1,0,0,0,0,0,1.0,1.0,9.31965807,9.31965807,9.31965807,9.31965807,10.0,0,94,10,269,269
d7b5eed4292dabab90ad067822a4289831395dee070079e96dd145f1f9a4c544,LOC_D,1,1,1,1,0,0,0,0,0,1.0,1.0,8.803038667,8.803038667,8.803038667,8.803038667,10.0,0,147,10,322,322
d7b5eed4292dabab90ad067822a4289831395dee070079e96dd145f1f9a4c544,LOC_THETA_CW,1,1,1,1,0,0,0,0,0,1.0,1.0,8.158995865,8.158995865,8.158995865,8.158995865,10.0,0,94,10,269,269
d7b5eed4292dabab90ad067822a4289831395dee070079e96dd145f1f9a4c544,LOC_THETA_LOC,1,1,1,1,0,0,0,0,0,1.0,1.0,7.845031936,7.845031936,7.845031936,7.845031936,10.0,0,94,10,269,269
